지역,대학명,계열,학과명
대구,DGIST,자연,융복합대학(기초학부)
광주,GIST,자연,기초교육학부
대전,KAIST,자연,전학부
서울,KC대,인문,G2빅데이터경영학과
서울,KC대,자연,간호학과
서울,KC대,인문,사회복지학과
서울,KC대,인문,상담심리학과
서울,KC대,자연,식품영양학과
서울,KC대,인문,신학과
서울,KC대,예체,음악콘텐츠학과
울산,UNIST,자연,경영계열
울산,UNIST,자연,이공계열
경남,가야대,자연,간호학과
경남,가야대,인문,경찰행정학과
경남,가야대,예체,귀금속주얼리학과
경남,가야대,자연,물리치료학과
경남,가야대,자연,방사선학과
경남,가야대,인문,사회복지재활학부
경남,가야대,자연,스포츠재활복지학과
경남,가야대,자연,안경광학과
경기,가천대(글로벌),자연,AI소프트웨어학부(소프트웨어전공)
경기,가천대(글로벌),자연,AI소프트웨어학부(인공지능전공)
경기,가천대(글로벌),자연,건축학부
경기,가천대(글로벌),인문,경영학과
경기,가천대(글로벌),인문,경영학부(경영학전공)
경기,가천대(글로벌),인문,경영학부(글로벌경영학전공)
경기,가천대(글로벌),인문,경제학과
경기,가천대(글로벌),인문,경찰안보학과
경기,가천대(글로벌),인문,관광경영학과
경기,가천대(글로벌),인문,금융수학과
경기,가천대(글로벌),자연,기계공학과
경기,가천대(글로벌),자연,도시계획조경학부
경기,가천대(글로벌),인문,동양어문학과
경기,가천대(글로벌),자연,물리학과
경기,가천대(글로벌),인문,미디어커뮤니케이션학과
경기,가천대(글로벌),예체,미술디자인학부(디자인)
경기,가천대(글로벌),인문,미술디자인학부(패션디자인)
경기,가천대(글로벌),예체,미술디자인학부(회화조소)
경기,가천대(글로벌),자연,바이오나노학과
경기,가천대(글로벌),인문,법학과
경기,가천대(글로벌),인문,사회복지학과
경기,가천대(글로벌),자연,산업경영공학과
경기,가천대(글로벌),자연,생명과학과
경기,가천대(글로벌),자연,설비소방공학과
경기,가천대(글로벌),예체,시각디자인학과
경기,가천대(글로벌),자연,식품생물공학과
경기,가천대(글로벌),자연,식품영양학과
경기,가천대(글로벌),자연,신소재공학과
경기,가천대(글로벌),인문,심리학과
경기,가천대(글로벌),예체,연기예술학과
경기,가천대(글로벌),인문,영미어문학과
경기,가천대(글로벌),인문,유럽어문학과
경기,가천대(글로벌),인문,유아교육학과
경기,가천대(글로벌),예체,음악학부(기악)
경기,가천대(글로벌),예체,음악학부(성악)
경기,가천대(글로벌),예체,음악학부(작곡)
경기,가천대(글로벌),인문,응용통계학과
경기,가천대(글로벌),인문,의료경영학과
경기,가천대(글로벌),인문,자유전공학부
경기,가천대(글로벌),자연,전기공학과
경기,가천대(글로벌),자연,전자공학과
경기,가천대(글로벌),예체,체육학부(체육)
경기,가천대(글로벌),예체,체육학부(태권도)
경기,가천대(글로벌),자연,컴퓨터공학과
경기,가천대(글로벌),자연,컴퓨터공학과(인문)
경기,가천대(글로벌),자연,컴퓨터공학과(자연)
경기,가천대(글로벌),자연,토목환경공학과
경기,가천대(글로벌),인문,한국어문학과
